2025-12-16 17:36:08,028 | INFO | __main__ | Starting real-time prediction engine
2025-12-16 17:36:09,582 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 17:36:09,582 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 17:36:09,582 | INFO | __main__ | REAL-TIME SIGNAL → {'current_price': np.float64(274.1099853515625), 'predicted_price': np.float64(246.34781303405762), 'price_change_pct': np.float64(-0.10128114188141751), 'signal': 'SELL'}
2025-12-16 17:36:09,582 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 17:36:10,484 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:36:25,761 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:36:39,664 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 17:36:39,664 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 17:36:39,664 | INFO | __main__ | REAL-TIME SIGNAL → {'current_price': np.float64(274.1099853515625), 'predicted_price': np.float64(246.34781303405762), 'price_change_pct': np.float64(-0.10128114188141751), 'signal': 'SELL'}
2025-12-16 17:36:39,664 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 17:36:41,009 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:36:56,296 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:37:09,752 | INFO | modules.prediction.signal_generator | Generating trading signal
2025-12-16 17:37:09,752 | INFO | modules.prediction.signal_generator | Current: 274.1099853515625, Predicted: 246.34781303405762, Signal: SELL
2025-12-16 17:37:09,752 | INFO | __main__ | REAL-TIME SIGNAL → {'current_price': np.float64(274.1099853515625), 'predicted_price': np.float64(246.34781303405762), 'price_change_pct': np.float64(-0.10128114188141751), 'signal': 'SELL'}
2025-12-16 17:37:09,758 | INFO | modules.utils.helpers | DataFrame saved to data/raw/realtime/live_stream.csv
2025-12-16 17:37:11,643 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:37:26,909 | INFO | modules.ingestion.realtime_stream | Real-time price for AAPL: 274.114990234375
2025-12-16 17:38:23,223 | INFO | modules.utils.helpers | DataFrame loaded from data/processed/feature_engineered.csv
2025-12-16 17:38:40,363 | INFO | modules.risk_management.sharpe_ratio | Calculating Sharpe Ratio
2025-12-16 17:38:40,363 | INFO | modules.risk_management.volatility_risk | Calculating volatility risk
2025-12-16 17:38:40,440 | INFO | modules.risk_management.max_drawdown | Calculating Maximum Drawdown
2025-12-16 17:38:51,760 | INFO | modules.evaluation.regression_metrics | Evaluating regression model performance
